mz_ratio,mode
132.0302,-
133.01425,-
175.02371,-
191.01973,-
253.21621,-
277.21621,-
279.23186,-
281.24751,-
303.23295,-
307.26327,-
317.21222,-
327.23186,-
329.24751,-
335.22278,-
572.4804,-
682.58995,-
885.5499,-
84.08206,+
162.11278,+
215.22342,+
232.15108,+
296.06654,+
339.28585,+
367.31928,+
372.31022,+
383.18163,+
383.29349,+
395.25683,+
400.34365,+
425.26639,+
428.37441,+
438.2977,+
443.24071,+
523.34078,+
560.50118,+
561.50523,+
572.33403,+
594.31654,+
605.45427,+
606.45832,+
607.47036,+
608.4744,+
633.4877,+
634.48908,+
635.49579,+
636.29211,+
657.48629,+
658.4424,+
659.50238,+
660.50376,+
661.50781,+
667.52943,+
695.52291,+
726.56315,+
741.53065,+
742.53736,+
744.49219,+
766.57058,+
768.55204,+
770.50953,+
771.51358,+
773.52966,+
774.53371,+
780.55267,+
784.56886,+
796.52687,+
798.5403,+
799.54701,+
800.54839,+
805.55531,+
806.56468,+
808.58343,+
820.52813,+
821.52952,+
822.54155,+
823.54294,+
824.55498,+
825.55902,+
826.5684,+
829.54592,+
833.58341,+
834.59279,+
843.68248,+
844.51608,+
844.68919,+
845.52012,+
846.52683,+
848.5589,+
849.56028,+
850.56699,+
857.57135,+
871.71324,+
872.54418,+
899.74134,+
925.75602,+
